Movie Title,Tomatometer Score
On Becoming a Guinea Fowl,100%
Eephus,100%
Souleymane's Story,100%
Caught by the Tides,99%
Vulcanizadora,98%
Familiar Touch,98%
Black Dog,98%
Sinners,97%
I'm Still Here,97%
The Ballad of Wallis Island,97%
Sister Midnight,97%
When Fall Is Coming,97%
KPop Demon Hunters,97%
Black Bag,96%
"Sorry, Baby",96%
The Ugly Stepsister,96%
A Nice Indian Boy,96%
Twinless,96%
Weapons,94%
Predator: Killer of Killers,95%
Misericordia,95%
My Dead Friend Zoe,95%
Pavements,95%
Architecton,95%
Sew Torn,95%
One of Them Days,94%
Sovereign,94%
April,94%
Sharp Corner,94%
Companion,93%
Warfare,93%
Final Destination Bloodlines,93%
Paddington in Peru,93%
Julie Keeps Quiet,93%
Cloud,93%
The Colors Within,92%
Don't Let's Go to the Dogs Tonight,91%
Together,90%
40 Acres,90%
The Damned,90%
Grand Tour,90%
Deep Cover,90%
The Naked Gun,87%
Bring Her Back,89%
Bridget Jones: Mad About the Boy,89%
Bring Them Down,89%
28 Years Later,88%
Thunderbolts*,88%
Presence,88%
Friendship,88%
Superboys of Malegaon,88%
The Bad Guys 2,87%
The Fantastic Four: First Steps,86%
The Wedding Banquet,86%
Dangerous Animals,86%
She Rides Shotgun,86%
The Day the Earth Blew Up: A Looney Tunes Movie,85%
Only the River Flows,85%
The Surfer,84%
Sacramento,84%
Superman,83%
Drop,83%
Elio,83%
The Friend,83%
Jane Austen Wrecked My Life,83%
The Assessment,83%
F1 The Movie,82%
Nonnas,82%
Unicorns,80%
Dog Man,81%
Gazer,81%
Mission: Impossible - The Final Reckoning,80%
The Life of Chuck,81%
Novocaine,80%
A Traveler's Needs,80%
Materialists,79%
Heart Eyes,78%
Last Breath,78%
Mickey 17,77%
The Phoenician Scheme,78%
The Penguin Lessons,77%
How to Train Your Dragon,76%
The Accountant 2,76%
The Legend of Ochi,76%
Fight or Flight,76%
The New Boy,76%
Seven Veils,76%
The Shrouds,75%
I Love My Dad,75%
Armand,75%
Shirley,75%
Mountainhead,74%
Freakier Friday,73%
Clown in a Cornfield,73%
Queen of the Ring,73%
